,Artist,Title,Min,Median,Higher,Min_290523,Median_290523,Higher_290523,Min_070623,Median_070623,Higher_070623,Min_120623,Median_120623,Higher_120623,Min_190623,Median_190623,Higher_190623,Min_260623,Median_260623,Higher_260623
85,Premiata Forneria Marconi,Photos Of Ghosts,4.74,7.35,47.44,4.74,7.35,47.44,4.8,7.43,47.95,4.74,7.35,47.44,4.64,7.2,46.42,4.69,7.28,46.93
86,Procol Harum,Exotic Birds And Fruit,2.4,4.09,10.17,2.4,4.09,10.17,2.43,4.13,10.28,2.4,4.09,10.17,2.35,4.0,9.95,2.38,4.04,10.06
87,Queen,A Night At The Opera,6.64,15.51,26.62,6.64,15.51,26.62,6.71,15.68,26.91,6.64,15.51,26.62,6.5,15.18,26.05,6.57,15.35,26.34
88,Queen,News Of The World,3.54,20.34,28.3,3.54,20.34,28.3,3.58,20.56,28.61,3.54,20.34,28.3,3.46,19.9,27.7,3.5,20.12,28.0
89,Queen,Queen,21.14,21.9,22.65,21.14,21.9,22.65,21.36,22.13,22.9,21.14,21.9,22.65,20.68,21.42,22.17,20.91,21.66,22.41
90,Queen,The Game,10.11,18.19,46.19,10.11,18.19,46.19,10.0,17.99,45.69,9.89,17.8,45.2,9.68,17.42,44.23,9.79,17.61,44.72
91,Queen,The Miracle,10.06,19.41,35.38,10.06,19.41,35.38,10.17,19.62,35.76,10.06,19.41,35.38,9.84,18.99,34.62,9.95,19.2,35.0
92,Riccardo Cocciante,I Momenti Dell'Amore,0.99,1.98,3.96,0.99,1.98,3.96,1.0,2.0,4.0,1.0,2.0,4.0,0.98,1.96,3.91,1.0,2.0,4.0
93,Rick Astley,Hold Me In Your Arms,2.5300000000000002,4.47,10.11,2.5300000000000002,4.47,10.11,2.55,4.52,10.22,2.5300000000000002,4.47,10.11,2.47,4.38,9.89,2.5,4.11,10.0
94,Rick Wakeman,1984,2.9699999999999998,4.94,10.39,2.9699999999999998,4.94,10.39,3.0,5.0,10.5,2.9699999999999998,4.94,10.39,2.9,4.84,10.16,2.94,4.89,10.28
95,Rondo' Veneziano*,Arabesque,3.34,8.09,15.16,3.34,8.09,15.16,3.37,8.17,15.33,3.34,8.09,15.16,3.26,7.41,14.84,3.3,7.49,15.0
96,Roxy Music,Avalon,4.04,9.39,25.27,4.04,9.39,25.27,4.09,9.49,25.54,4.04,9.39,25.27,3.96,9.18,24.73,4.0,9.28,25.0
97,Santana,Caravanserai,3.99,10.0,20.75,3.99,10.0,20.75,4.03,10.11,20.97,3.99,10.0,20.75,3.9,9.78,20.3,3.95,9.89,20.53
98,Santana,Caravanserai,3.99,10.0,20.75,3.99,10.0,20.75,4.03,10.11,20.97,3.99,10.0,20.75,3.9,9.78,20.3,2.21,5.82,12.76
99,Santana,Caravanserai,3.99,10.0,20.75,3.99,10.0,20.75,4.03,10.11,20.97,3.99,10.0,20.75,2.19,5.76,12.62,3.95,9.89,20.53
100,Santana,Caravanserai,3.99,10.0,20.75,3.99,10.0,20.75,4.03,10.11,20.97,3.99,10.0,20.75,2.19,5.76,12.62,2.21,5.82,12.76
101,Santana,Caravanserai,3.99,10.0,20.75,3.99,10.0,20.75,4.03,10.11,20.97,2.24,5.88,12.9,3.9,9.78,20.3,3.95,9.89,20.53
102,Santana,Caravanserai,3.99,10.0,20.75,3.99,10.0,20.75,4.03,10.11,20.97,2.24,5.88,12.9,3.9,9.78,20.3,2.21,5.82,12.76
103,Santana,Caravanserai,3.99,10.0,20.75,3.99,10.0,20.75,4.03,10.11,20.97,2.24,5.88,12.9,2.19,5.76,12.62,3.95,9.89,20.53
104,Santana,Caravanserai,3.99,10.0,20.75,3.99,10.0,20.75,4.03,10.11,20.97,2.24,5.88,12.9,2.19,5.76,12.62,2.21,5.82,12.76
105,Santana,Caravanserai,3.99,10.0,20.75,3.99,10.0,20.75,2.26,5.95,13.04,3.99,10.0,20.75,3.9,9.78,20.3,3.95,9.89,20.53
106,Santana,Caravanserai,3.99,10.0,20.75,3.99,10.0,20.75,2.26,5.95,13.04,3.99,10.0,20.75,3.9,9.78,20.3,2.21,5.82,12.76
107,Santana,Caravanserai,3.99,10.0,20.75,3.99,10.0,20.75,2.26,5.95,13.04,3.99,10.0,20.75,2.19,5.76,12.62,3.95,9.89,20.53
108,Santana,Caravanserai,3.99,10.0,20.75,3.99,10.0,20.75,2.26,5.95,13.04,3.99,10.0,20.75,2.19,5.76,12.62,2.21,5.82,12.76
