Artist,Title,Collection,Min,Median,Higher,Min_230529,Median_230529,Higher_230529,Min_230607,Median_230607,Higher_230607,Min_230612,Median_230612,Higher_230612,Min_230619,Median_230619,Higher_230619,Min_230626,Median_230626,Higher_230626,Min_230703,Median_230703,Higher_230703,Min_230711,Median_230711,Higher_230711,Min_230717,Median_230717,Higher_230717
Pink Floyd,The Dark Side Of The Moon,Father Collection,9.5,24.99,54.0,9.5,24.99,54.0,9.6,25.26,54.58,9.5,24.99,54.0,9.3,24.45,52.84,9.4,24.72,53.42,9.5,24.99,54.0,9.4,53.41,53.41,9.19,52.24,52.24
Pink Floyd,The Wall,Father Collection,11.52,20.51,83.65,11.52,20.51,83.65,11.65,20.74,84.55,11.52,20.51,83.65,11.27,20.07,81.85,11.74,26.68,82.75,11.74,26.68,82.75,11.53,26.39,81.85,11.36,80.06,80.06
Pino Daniele,Terra Mia,Father Collection,20.44,45.48,71.53,20.44,45.48,71.53,20.66,45.97,72.3,20.44,45.48,71.53,20.0,44.5,69.99,20.22,41.45,70.76,20.22,41.45,70.76,19.78,64.29,64.29,20.0,79.0,79.0
The Police,Every Breath You Take (The Singles),Original Collection Italy,3.95,9.89,19.79,3.95,9.89,19.79,3.99,10.0,20.0,3.95,9.89,19.79,3.86,9.68,19.36,3.91,9.79,19.57,3.91,9.79,19.57,3.86,19.36,19.36,3.7800000000000002,18.94,18.94
The Police,Ghost In The Machine,2021 Second Hand,2.87,7.91,14.84,2.87,7.91,14.84,2.93,8.08,15.16,2.9,7.99,15.0,2.84,7.82,14.68,2.9,7.99,15.0,2.9,7.99,15.0,2.87,14.84,14.84,2.81,14.51,14.51
Premiata Forneria Marconi,Come Ti Va In Riva Alla Città,2022 Second Hand,5.11,15.32,30.66,5.11,15.32,30.66,5.16,15.49,30.99,5.11,15.32,30.66,5.0,14.99,30.0,5.05,15.16,30.33,5.05,15.16,30.33,5.0,30.0,30.0,4.89,29.34,29.34
Premiata Forneria Marconi,L'Isola Di Niente,Father Collection,8.16,31.0,82.67,8.16,31.0,82.67,8.25,31.33,83.56,8.16,31.0,82.67,7.99,30.33,80.89,10.11,30.33,80.88,10.11,30.33,80.88,10.0,80.0,80.0,9.78,78.24,78.24
Premiata Forneria Marconi,Live In U.S.A.,Father Collection,11.87,17.81,27.9,11.87,17.81,27.9,12.0,18.0,28.2,11.87,17.81,27.9,11.62,17.43,27.3,11.74,17.62,27.6,11.74,17.62,27.6,11.62,27.3,27.3,11.36,26.7,26.7
Premiata Forneria Marconi,Per Un Amico,Father Collection,15.0,44.5,150.0,15.0,44.5,150.0,15.16,44.98,151.61,15.0,44.5,150.0,14.68,49.32,146.77,14.84,49.86,148.39,14.84,49.86,148.39,14.84,148.37,148.37,14.51,145.11,145.11
Premiata Forneria Marconi,Photos Of Ghosts,2023 Second Hand,4.74,7.35,47.44,4.74,7.35,47.44,4.8,7.43,47.95,4.74,7.35,47.44,4.64,7.2,46.42,4.69,7.28,46.93,4.69,7.28,46.93,4.64,46.42,46.42,4.54,45.4,45.4
Procol Harum,Exotic Birds And Fruit,2023 Second Hand,2.4,4.09,10.17,2.4,4.09,10.17,2.43,4.13,10.28,2.4,4.09,10.17,2.35,4.0,9.95,2.38,4.04,10.06,2.38,4.04,10.06,2.35,9.95,9.95,2.3,9.73,9.73
Queen,A Night At The Opera,Original Collection,6.64,15.51,26.62,6.64,15.51,26.62,6.71,15.68,26.91,6.64,15.51,26.62,6.5,15.18,26.05,6.57,15.35,26.34,6.57,15.35,26.34,6.5,26.05,26.05,6.36,25.48,25.48
Queen,News Of The World,Original Collection,3.54,20.34,28.3,3.54,20.34,28.3,3.58,20.56,28.61,3.54,20.34,28.3,3.46,19.9,27.7,3.5,20.12,28.0,3.5,20.12,28.0,3.46,27.7,27.7,3.39,27.09,27.09
Queen,Queen,Original Collection,21.14,21.9,22.65,21.14,21.9,22.65,21.36,22.13,22.9,21.14,21.9,22.65,20.68,21.42,22.17,20.91,21.66,22.41,20.91,21.66,22.41,20.68,22.17,22.17,20.23,21.68,21.68
Queen,The Game,Original Collection,10.11,18.19,46.19,10.11,18.19,46.19,10.0,17.99,45.69,9.89,17.8,45.2,9.68,17.42,44.23,9.79,17.61,44.72,9.79,17.61,44.72,9.68,44.23,44.23,9.47,43.26,43.26
Queen,The Miracle,Original Collection,10.06,19.41,35.38,10.06,19.41,35.38,10.17,19.62,35.76,10.06,19.41,35.38,9.84,18.99,34.62,9.95,19.2,35.0,9.95,19.2,35.0,9.84,34.62,34.62,9.73,34.23,34.23
Riccardo Cocciante,I Momenti Dell'Amore,Original Collection Italy,0.99,1.98,3.96,0.99,1.98,3.96,1.0,2.0,4.0,1.0,2.0,4.0,0.98,1.96,3.91,1.0,2.0,4.0,1.0,2.0,4.0,0.99,3.96,3.96,0.97,3.87,3.87
Rick Astley,Hold Me In Your Arms,Original Collection Italy,2.53,4.47,10.11,2.53,4.47,10.11,2.55,4.52,10.22,2.53,4.47,10.11,2.47,4.38,9.89,2.5,4.11,10.0,2.5,4.11,10.0,2.47,9.89,9.89,2.42,9.67,9.67
Rick Wakeman,1984,2023 Second Hand,2.97,4.94,10.39,2.97,4.94,10.39,3.0,5.0,10.5,2.97,4.94,10.39,2.9,4.84,10.16,2.94,4.89,10.28,2.94,4.89,10.28,2.9,10.16,10.16,2.84,9.94,9.94
